Step;N 
100 ; 227
200 ; 240
300 ; 245
400 ; 242
500 ; 236
600 ; 244
700 ; 223
800 ; 225
900 ; 239
1000 ; 235
1100 ; 241
1200 ; 238
1300 ; 228
1400 ; 245
1500 ; 240
1600 ; 246
1700 ; 228
1800 ; 250
1900 ; 232
2000 ; 233
2100 ; 240
2200 ; 246
2300 ; 233
2400 ; 226
2500 ; 228
2600 ; 236
2700 ; 237
2800 ; 233
2900 ; 215
3000 ; 241
3100 ; 246
3200 ; 230
3300 ; 230
3400 ; 235
3500 ; 244
3600 ; 227
3700 ; 236
3800 ; 223
3900 ; 232
4000 ; 249
4100 ; 222
4200 ; 252
4300 ; 232
4400 ; 232
4500 ; 235
4600 ; 233
4700 ; 227
4800 ; 237
4900 ; 230
5000 ; 236
5100 ; 225
5200 ; 219
5300 ; 250
5400 ; 233
5500 ; 242
5600 ; 223
5700 ; 214
5800 ; 250
5900 ; 243
6000 ; 237
6100 ; 234
6200 ; 221
6300 ; 241
6400 ; 246
6500 ; 252
6600 ; 221
6700 ; 241
6800 ; 234
6900 ; 251
7000 ; 246
7100 ; 232
7200 ; 242
7300 ; 233
7400 ; 220
7500 ; 228
7600 ; 248
7700 ; 221
7800 ; 247
7900 ; 234
8000 ; 229
8100 ; 248
8200 ; 231
8300 ; 241
8400 ; 224
8500 ; 242
8600 ; 252
8700 ; 243
8800 ; 253
8900 ; 234
9000 ; 237
9100 ; 247
9200 ; 247
9300 ; 225
9400 ; 225
9500 ; 236
9600 ; 239
9700 ; 236
9800 ; 247
9900 ; 240
10000 ; 238
10100 ; 229
10200 ; 226
10300 ; 235
10400 ; 228
10500 ; 231
10600 ; 217
10700 ; 235
10800 ; 231
10900 ; 228
11000 ; 241
11100 ; 246
11200 ; 223
11300 ; 227
11400 ; 230
11500 ; 240
11600 ; 223
11700 ; 244
11800 ; 234
11900 ; 220
12000 ; 234
12100 ; 248
12200 ; 230
12300 ; 229
12400 ; 217
12500 ; 235
12600 ; 225
12700 ; 235
12800 ; 218
12900 ; 225
13000 ; 256
13100 ; 228
13200 ; 229
13300 ; 235
13400 ; 224
13500 ; 250
13600 ; 246
13700 ; 245
