Step;N 
40100 ; 16
40200 ; 28
40300 ; 33
40400 ; 12
40500 ; 21
40600 ; 19
40700 ; 19
40800 ; 20
40900 ; 9
41000 ; 18
41100 ; 14
41200 ; 20
41300 ; 22
41400 ; 35
41500 ; 17
41600 ; 45
41700 ; 12
41800 ; 16
41900 ; 22
42000 ; 19
42100 ; 13
42200 ; 16
42300 ; 13
42400 ; 25
42500 ; 18
42600 ; 8
42700 ; 19
42800 ; 12
42900 ; 14
43000 ; 19
43100 ; 16
43200 ; 16
43300 ; 26
43400 ; 29
43500 ; 22
43600 ; 13
43700 ; 10
43800 ; 26
43900 ; 15
44000 ; 20
44100 ; 31
44200 ; 14
44300 ; 30
44400 ; 7
44500 ; 14
44600 ; 17
44700 ; 22
44800 ; 12
44900 ; 16
45000 ; 16
45100 ; 8
45200 ; 22
45300 ; 15
45400 ; 11
45500 ; 17
45600 ; 12
45700 ; 14
45800 ; 23
45900 ; 19
46000 ; 26
46100 ; 16
46200 ; 28
46300 ; 13
46400 ; 14
46500 ; 11
46600 ; 11
46700 ; 12
46800 ; 8
46900 ; 14
47000 ; 29
47100 ; 11
47200 ; 20
47300 ; 31
47400 ; 16
47500 ; 21
47600 ; 11
47700 ; 9
47800 ; 14
47900 ; 22
48000 ; 30
48100 ; 17
48200 ; 12
48300 ; 20
48400 ; 27
48500 ; 13
48600 ; 17
48700 ; 9
48800 ; 17
48900 ; 13
49000 ; 19
49100 ; 18
49200 ; 26
49300 ; 16
49400 ; 35
49500 ; 26
49600 ; 19
49700 ; 17
49800 ; 26
49900 ; 14
50000 ; 14
50100 ; 25
50200 ; 24
50300 ; 6
50400 ; 11
50500 ; 15
50600 ; 10
50700 ; 13
50800 ; 14
50900 ; 12
51000 ; 18
51100 ; 21
51200 ; 10
51300 ; 16
51400 ; 25
51500 ; 14
51600 ; 13
51700 ; 20
51800 ; 12
51900 ; 16
52000 ; 10
52100 ; 10
52200 ; 10
52300 ; 10
52400 ; 16
52500 ; 18
52600 ; 12
52700 ; 25
52800 ; 13
52900 ; 26
53000 ; 26
53100 ; 21
53200 ; 20
53300 ; 13
53400 ; 11
53500 ; 11
53600 ; 11
53700 ; 13
53800 ; 16
53900 ; 21
54000 ; 10
54100 ; 9
54200 ; 8
54300 ; 24
54400 ; 26
54500 ; 21
54600 ; 22
54700 ; 18
54800 ; 17
54900 ; 29
55000 ; 16
55100 ; 21
55200 ; 10
55300 ; 16
55400 ; 8
55500 ; 23
