Step;N 
100 ; 618
200 ; 621
300 ; 618
400 ; 630
500 ; 626
600 ; 636
700 ; 630
800 ; 635
900 ; 630
1000 ; 637
1100 ; 642
1200 ; 641
1300 ; 641
1400 ; 641
1500 ; 641
1600 ; 634
1700 ; 644
1800 ; 647
1900 ; 646
2000 ; 647
2100 ; 650
2200 ; 659
2300 ; 652
2400 ; 644
2500 ; 647
2600 ; 646
2700 ; 662
2800 ; 664
2900 ; 657
3000 ; 654
3100 ; 654
3200 ; 653
3300 ; 654
3400 ; 661
3500 ; 663
3600 ; 663
3700 ; 652
3800 ; 659
3900 ; 658
4000 ; 652
4100 ; 652
4200 ; 655
4300 ; 652
4400 ; 650
4500 ; 651
4600 ; 647
4700 ; 649
4800 ; 647
4900 ; 657
5000 ; 658
