Step;N 
100 ; 313
200 ; 324
300 ; 332
400 ; 338
500 ; 329
600 ; 333
700 ; 330
800 ; 330
900 ; 349
1000 ; 329
1100 ; 337
1200 ; 340
1300 ; 340
1400 ; 332
1500 ; 336
1600 ; 343
1700 ; 349
1800 ; 338
1900 ; 335
2000 ; 344
2100 ; 329
2200 ; 313
2300 ; 334
2400 ; 332
2500 ; 337
2600 ; 332
2700 ; 345
2800 ; 325
2900 ; 329
3000 ; 329
3100 ; 339
3200 ; 332
3300 ; 311
3400 ; 333
3500 ; 341
3600 ; 321
3700 ; 324
3800 ; 332
3900 ; 330
4000 ; 337
4100 ; 349
4200 ; 327
4300 ; 326
4400 ; 328
4500 ; 335
4600 ; 330
4700 ; 314
4800 ; 327
4900 ; 343
5000 ; 330
5100 ; 339
5200 ; 322
5300 ; 343
5400 ; 325
5500 ; 318
5600 ; 318
5700 ; 318
5800 ; 324
5900 ; 348
6000 ; 346
6100 ; 333
6200 ; 326
6300 ; 339
6400 ; 336
6500 ; 339
6600 ; 349
6700 ; 329
6800 ; 328
6900 ; 329
7000 ; 331
7100 ; 335
7200 ; 325
7300 ; 331
7400 ; 343
7500 ; 342
7600 ; 333
7700 ; 338
7800 ; 317
7900 ; 321
8000 ; 342
8100 ; 326
8200 ; 327
8300 ; 305
8400 ; 336
8500 ; 319
8600 ; 339
8700 ; 345
8800 ; 335
8900 ; 339
9000 ; 329
9100 ; 343
9200 ; 327
9300 ; 326
9400 ; 328
9500 ; 327
9600 ; 317
9700 ; 322
9800 ; 334
9900 ; 330
10000 ; 331
10100 ; 307
10200 ; 326
10300 ; 317
10400 ; 345
10500 ; 322
10600 ; 329
10700 ; 314
10800 ; 339
10900 ; 334
11000 ; 347
11100 ; 314
11200 ; 322
11300 ; 316
11400 ; 332
11500 ; 328
11600 ; 336
11700 ; 331
11800 ; 344
11900 ; 337
12000 ; 341
12100 ; 330
12200 ; 332
12300 ; 326
12400 ; 326
12500 ; 330
12600 ; 344
12700 ; 329
12800 ; 350
12900 ; 333
13000 ; 323
13100 ; 341
13200 ; 344
13300 ; 323
13400 ; 331
13500 ; 309
13600 ; 333
13700 ; 325
13800 ; 338
13900 ; 342
14000 ; 334
14100 ; 335
14200 ; 327
14300 ; 335
14400 ; 318
14500 ; 326
14600 ; 343
14700 ; 352
14800 ; 345
14900 ; 336
15000 ; 345
15100 ; 318
15200 ; 345
15300 ; 324
15400 ; 329
15500 ; 319
15600 ; 320
15700 ; 335
15800 ; 341
15900 ; 332
16000 ; 340
16100 ; 350
16200 ; 339
16300 ; 342
16400 ; 333
16500 ; 346
16600 ; 329
16700 ; 343
16800 ; 334
16900 ; 335
17000 ; 318
17100 ; 331
17200 ; 331
17300 ; 338
17400 ; 323
17500 ; 333
17600 ; 339
17700 ; 321
17800 ; 331
17900 ; 331
18000 ; 333
18100 ; 329
18200 ; 326
18300 ; 322
18400 ; 339
18500 ; 332
18600 ; 342
18700 ; 323
18800 ; 342
18900 ; 333
