Step;N 
100 ; 502
200 ; 512
300 ; 511
400 ; 504
500 ; 497
600 ; 505
700 ; 499
800 ; 492
900 ; 485
1000 ; 504
1100 ; 495
1200 ; 504
1300 ; 486
1400 ; 500
1500 ; 488
1600 ; 502
1700 ; 503
1800 ; 506
1900 ; 503
2000 ; 498
2100 ; 494
2200 ; 504
2300 ; 487
2400 ; 498
2500 ; 489
2600 ; 511
2700 ; 507
2800 ; 490
2900 ; 508
3000 ; 497
3100 ; 489
3200 ; 488
3300 ; 478
3400 ; 495
3500 ; 502
3600 ; 491
3700 ; 491
3800 ; 493
3900 ; 501
4000 ; 507
4100 ; 500
4200 ; 492
4300 ; 493
4400 ; 491
4500 ; 500
4600 ; 496
4700 ; 495
4800 ; 487
4900 ; 485
5000 ; 484
