Step;N 
40100 ; 710
40200 ; 710
40300 ; 711
40400 ; 715
40500 ; 714
40600 ; 712
40700 ; 710
40800 ; 710
40900 ; 709
41000 ; 709
41100 ; 712
41200 ; 710
41300 ; 709
41400 ; 710
41500 ; 709
41600 ; 710
41700 ; 707
41800 ; 708
41900 ; 712
42000 ; 710
42100 ; 709
42200 ; 709
42300 ; 711
42400 ; 714
42500 ; 713
42600 ; 714
42700 ; 712
42800 ; 713
42900 ; 716
43000 ; 714
43100 ; 712
43200 ; 715
43300 ; 714
43400 ; 713
43500 ; 715
43600 ; 711
43700 ; 713
43800 ; 711
43900 ; 712
44000 ; 712
44100 ; 710
44200 ; 710
44300 ; 711
44400 ; 710
44500 ; 712
44600 ; 710
44700 ; 710
44800 ; 710
44900 ; 712
45000 ; 713
45100 ; 716
45200 ; 717
45300 ; 714
45400 ; 715
45500 ; 714
45600 ; 709
45700 ; 710
45800 ; 709
45900 ; 708
46000 ; 706
46100 ; 704
46200 ; 704
46300 ; 703
46400 ; 703
46500 ; 704
46600 ; 698
46700 ; 699
46800 ; 700
46900 ; 703
47000 ; 707
47100 ; 707
47200 ; 708
47300 ; 707
47400 ; 706
47500 ; 706
47600 ; 704
47700 ; 705
47800 ; 705
47900 ; 709
48000 ; 711
48100 ; 710
48200 ; 708
48300 ; 708
48400 ; 708
48500 ; 706
48600 ; 705
48700 ; 705
48800 ; 706
48900 ; 703
49000 ; 704
49100 ; 705
49200 ; 706
49300 ; 708
49400 ; 711
49500 ; 709
49600 ; 712
49700 ; 711
49800 ; 709
49900 ; 707
50000 ; 711
