Step;N 
100 ; 460
200 ; 480
300 ; 472
400 ; 476
500 ; 467
600 ; 485
700 ; 461
800 ; 480
900 ; 477
1000 ; 479
1100 ; 464
1200 ; 470
1300 ; 479
1400 ; 473
1500 ; 479
1600 ; 468
1700 ; 479
1800 ; 485
1900 ; 473
2000 ; 457
2100 ; 460
2200 ; 473
2300 ; 465
2400 ; 460
2500 ; 466
2600 ; 474
2700 ; 457
2800 ; 462
2900 ; 469
3000 ; 485
3100 ; 468
3200 ; 471
3300 ; 478
3400 ; 464
3500 ; 467
3600 ; 469
3700 ; 472
3800 ; 458
3900 ; 458
4000 ; 463
4100 ; 478
4200 ; 468
4300 ; 457
4400 ; 480
4500 ; 458
4600 ; 470
4700 ; 456
4800 ; 474
4900 ; 484
5000 ; 461
5100 ; 470
5200 ; 477
5300 ; 465
5400 ; 469
5500 ; 476
5600 ; 471
5700 ; 470
5800 ; 464
5900 ; 473
6000 ; 479
6100 ; 466
6200 ; 461
6300 ; 472
6400 ; 483
6500 ; 480
6600 ; 472
6700 ; 467
6800 ; 467
6900 ; 468
7000 ; 462
7100 ; 451
7200 ; 465
7300 ; 467
7400 ; 469
7500 ; 474
7600 ; 463
7700 ; 474
7800 ; 468
7900 ; 470
8000 ; 474
8100 ; 469
8200 ; 471
8300 ; 467
8400 ; 469
8500 ; 479
8600 ; 475
8700 ; 476
8800 ; 475
8900 ; 455
9000 ; 472
9100 ; 480
9200 ; 468
9300 ; 477
9400 ; 459
9500 ; 472
9600 ; 473
9700 ; 485
9800 ; 470
9900 ; 463
10000 ; 488
10100 ; 472
10200 ; 477
10300 ; 473
10400 ; 483
10500 ; 467
10600 ; 464
10700 ; 475
10800 ; 471
10900 ; 472
11000 ; 467
11100 ; 471
11200 ; 463
11300 ; 474
11400 ; 480
11500 ; 471
11600 ; 475
11700 ; 470
11800 ; 470
11900 ; 470
12000 ; 464
12100 ; 468
12200 ; 477
12300 ; 475
12400 ; 476
12500 ; 481
12600 ; 486
12700 ; 470
12800 ; 461
12900 ; 481
13000 ; 470
13100 ; 479
13200 ; 484
13300 ; 471
13400 ; 456
13500 ; 469
13600 ; 453
13700 ; 478
13800 ; 482
13900 ; 483
14000 ; 459
14100 ; 468
