Step;N 
100 ; 158
200 ; 178
300 ; 156
400 ; 152
500 ; 171
600 ; 154
700 ; 165
800 ; 162
900 ; 161
1000 ; 155
1100 ; 162
1200 ; 163
1300 ; 172
1400 ; 163
1500 ; 158
1600 ; 150
1700 ; 171
1800 ; 159
1900 ; 153
2000 ; 171
2100 ; 154
2200 ; 169
2300 ; 164
2400 ; 163
2500 ; 158
2600 ; 168
2700 ; 163
2800 ; 157
2900 ; 159
3000 ; 163
3100 ; 175
3200 ; 154
3300 ; 166
3400 ; 181
3500 ; 166
3600 ; 146
3700 ; 162
3800 ; 166
3900 ; 162
4000 ; 158
4100 ; 161
4200 ; 172
4300 ; 152
4400 ; 188
4500 ; 154
4600 ; 160
4700 ; 167
4800 ; 170
4900 ; 148
5000 ; 158
5100 ; 150
5200 ; 177
5300 ; 160
5400 ; 163
5500 ; 182
5600 ; 145
5700 ; 172
5800 ; 159
5900 ; 171
6000 ; 155
6100 ; 163
6200 ; 168
6300 ; 170
6400 ; 173
6500 ; 163
6600 ; 173
6700 ; 176
6800 ; 164
6900 ; 160
7000 ; 169
7100 ; 169
7200 ; 156
7300 ; 158
7400 ; 163
7500 ; 188
7600 ; 170
7700 ; 165
7800 ; 150
7900 ; 158
8000 ; 169
8100 ; 153
8200 ; 169
8300 ; 173
8400 ; 158
8500 ; 154
8600 ; 166
8700 ; 161
8800 ; 154
8900 ; 160
9000 ; 167
9100 ; 164
9200 ; 187
9300 ; 154
9400 ; 163
9500 ; 163
9600 ; 175
9700 ; 188
9800 ; 149
9900 ; 168
10000 ; 176
10100 ; 168
10200 ; 149
10300 ; 158
10400 ; 157
10500 ; 162
10600 ; 162
10700 ; 169
10800 ; 165
10900 ; 168
11000 ; 164
11100 ; 169
11200 ; 147
11300 ; 156
11400 ; 162
11500 ; 179
11600 ; 157
11700 ; 164
11800 ; 162
11900 ; 169
12000 ; 176
12100 ; 177
12200 ; 150
12300 ; 169
12400 ; 171
12500 ; 174
12600 ; 160
12700 ; 166
12800 ; 175
12900 ; 146
13000 ; 169
13100 ; 165
13200 ; 159
13300 ; 165
13400 ; 157
13500 ; 176
13600 ; 175
13700 ; 172
13800 ; 155
13900 ; 160
14000 ; 160
14100 ; 170
14200 ; 150
14300 ; 175
14400 ; 153
14500 ; 181
14600 ; 170
14700 ; 181
14800 ; 164
14900 ; 164
15000 ; 174
15100 ; 154
15200 ; 161
15300 ; 175
