Step;N 
40100 ; 270
40200 ; 279
40300 ; 291
40400 ; 265
40500 ; 289
40600 ; 294
40700 ; 283
40800 ; 290
40900 ; 284
41000 ; 275
41100 ; 288
41200 ; 301
41300 ; 302
41400 ; 288
41500 ; 295
41600 ; 274
41700 ; 294
41800 ; 290
41900 ; 276
42000 ; 284
42100 ; 273
42200 ; 302
42300 ; 281
42400 ; 287
42500 ; 277
42600 ; 294
42700 ; 279
42800 ; 278
42900 ; 280
43000 ; 287
43100 ; 274
43200 ; 286
43300 ; 289
43400 ; 280
43500 ; 293
43600 ; 303
43700 ; 281
43800 ; 278
43900 ; 279
44000 ; 271
44100 ; 286
44200 ; 294
44300 ; 277
44400 ; 277
44500 ; 288
44600 ; 275
44700 ; 291
44800 ; 275
44900 ; 270
45000 ; 264
45100 ; 274
45200 ; 268
45300 ; 292
45400 ; 279
45500 ; 287
45600 ; 293
45700 ; 325
45800 ; 290
45900 ; 290
46000 ; 291
46100 ; 279
46200 ; 261
46300 ; 282
46400 ; 296
46500 ; 273
46600 ; 287
46700 ; 286
46800 ; 288
46900 ; 285
47000 ; 292
47100 ; 281
47200 ; 278
47300 ; 294
47400 ; 288
47500 ; 273
47600 ; 292
47700 ; 282
47800 ; 282
47900 ; 300
48000 ; 264
48100 ; 305
48200 ; 267
48300 ; 266
48400 ; 291
48500 ; 275
48600 ; 295
48700 ; 287
48800 ; 306
48900 ; 279
49000 ; 291
49100 ; 285
49200 ; 278
49300 ; 294
49400 ; 271
49500 ; 293
49600 ; 280
49700 ; 283
49800 ; 270
49900 ; 280
50000 ; 298
50100 ; 274
50200 ; 272
50300 ; 289
50400 ; 294
50500 ; 282
50600 ; 280
50700 ; 264
50800 ; 271
50900 ; 269
51000 ; 296
51100 ; 271
51200 ; 268
51300 ; 283
51400 ; 264
51500 ; 291
51600 ; 275
51700 ; 286
51800 ; 291
51900 ; 272
52000 ; 276
52100 ; 291
52200 ; 295
52300 ; 272
52400 ; 288
52500 ; 297
52600 ; 292
52700 ; 284
52800 ; 305
52900 ; 288
53000 ; 288
53100 ; 288
53200 ; 283
53300 ; 288
53400 ; 287
53500 ; 275
53600 ; 286
53700 ; 272
53800 ; 289
53900 ; 278
54000 ; 287
54100 ; 284
54200 ; 293
54300 ; 284
54400 ; 278
54500 ; 284
54600 ; 286
54700 ; 273
54800 ; 280
54900 ; 279
55000 ; 285
55100 ; 302
55200 ; 271
55300 ; 283
55400 ; 289
55500 ; 294
55600 ; 286
55700 ; 278
55800 ; 289
55900 ; 284
56000 ; 280
56100 ; 299
56200 ; 278
56300 ; 307
56400 ; 294
56500 ; 288
56600 ; 292
56700 ; 280
56800 ; 273
56900 ; 275
57000 ; 285
57100 ; 292
57200 ; 306
57300 ; 289
57400 ; 302
57500 ; 279
57600 ; 293
57700 ; 291
57800 ; 292
57900 ; 280
58000 ; 291
58100 ; 278
58200 ; 292
58300 ; 281
58400 ; 262
58500 ; 290
58600 ; 293
58700 ; 294
58800 ; 303
58900 ; 290
59000 ; 272
59100 ; 276
59200 ; 295
59300 ; 289
59400 ; 283
59500 ; 265
59600 ; 295
59700 ; 288
59800 ; 284
59900 ; 284
60000 ; 277
60100 ; 274
60200 ; 292
60300 ; 277
60400 ; 298
60500 ; 293
60600 ; 281
60700 ; 283
60800 ; 282
60900 ; 279
61000 ; 289
61100 ; 281
61200 ; 274
61300 ; 298
61400 ; 296
61500 ; 277
61600 ; 267
61700 ; 297
61800 ; 273
61900 ; 282
62000 ; 276
62100 ; 284
62200 ; 280
62300 ; 285
62400 ; 289
62500 ; 295
62600 ; 273
62700 ; 278
62800 ; 292
62900 ; 292
63000 ; 293
63100 ; 281
63200 ; 288
63300 ; 280
63400 ; 276
63500 ; 291
63600 ; 265
63700 ; 293
63800 ; 292
63900 ; 296
64000 ; 278
64100 ; 285
64200 ; 298
64300 ; 291
64400 ; 266
64500 ; 288
64600 ; 283
64700 ; 285
64800 ; 290
64900 ; 291
65000 ; 281
65100 ; 280
65200 ; 276
65300 ; 279
65400 ; 295
65500 ; 284
65600 ; 273
65700 ; 286
65800 ; 285
65900 ; 286
66000 ; 267
66100 ; 282
66200 ; 283
66300 ; 291
66400 ; 280
66500 ; 302
66600 ; 276
66700 ; 279
66800 ; 303
