Step;N 
100 ; 419
200 ; 416
300 ; 437
400 ; 408
500 ; 416
600 ; 407
700 ; 419
800 ; 430
900 ; 407
1000 ; 411
1100 ; 406
1200 ; 431
1300 ; 422
1400 ; 416
1500 ; 420
1600 ; 411
1700 ; 426
1800 ; 402
1900 ; 412
2000 ; 409
2100 ; 421
2200 ; 387
2300 ; 413
2400 ; 407
2500 ; 416
2600 ; 428
2700 ; 423
2800 ; 412
2900 ; 416
3000 ; 409
3100 ; 407
3200 ; 416
3300 ; 418
3400 ; 412
3500 ; 411
3600 ; 421
3700 ; 415
3800 ; 411
3900 ; 420
4000 ; 409
4100 ; 414
4200 ; 404
4300 ; 404
4400 ; 423
4500 ; 416
4600 ; 415
4700 ; 414
4800 ; 417
4900 ; 419
5000 ; 414
5100 ; 424
5200 ; 407
5300 ; 408
5400 ; 423
5500 ; 401
5600 ; 406
5700 ; 424
5800 ; 418
5900 ; 414
6000 ; 431
6100 ; 414
6200 ; 402
6300 ; 414
6400 ; 423
6500 ; 426
6600 ; 410
6700 ; 413
6800 ; 405
6900 ; 412
7000 ; 418
7100 ; 409
7200 ; 428
7300 ; 420
7400 ; 405
7500 ; 411
7600 ; 417
7700 ; 416
7800 ; 425
7900 ; 419
8000 ; 422
8100 ; 406
8200 ; 429
8300 ; 426
8400 ; 411
8500 ; 400
8600 ; 413
8700 ; 405
8800 ; 416
8900 ; 412
9000 ; 402
9100 ; 415
9200 ; 421
9300 ; 410
9400 ; 411
9500 ; 391
9600 ; 401
9700 ; 401
9800 ; 409
9900 ; 442
10000 ; 422
10100 ; 417
10200 ; 427
10300 ; 422
10400 ; 403
10500 ; 427
10600 ; 411
10700 ; 413
10800 ; 411
10900 ; 409
11000 ; 433
11100 ; 411
11200 ; 416
11300 ; 425
11400 ; 417
11500 ; 426
11600 ; 418
11700 ; 412
11800 ; 405
11900 ; 417
12000 ; 425
12100 ; 407
12200 ; 420
12300 ; 423
12400 ; 408
12500 ; 412
12600 ; 410
12700 ; 402
12800 ; 401
12900 ; 415
13000 ; 416
13100 ; 424
13200 ; 419
13300 ; 425
13400 ; 428
13500 ; 412
13600 ; 421
13700 ; 413
13800 ; 410
13900 ; 429
14000 ; 418
14100 ; 418
14200 ; 428
14300 ; 424
14400 ; 408
14500 ; 414
14600 ; 417
14700 ; 406
14800 ; 409
14900 ; 429
15000 ; 410
15100 ; 417
15200 ; 415
15300 ; 420
15400 ; 426
15500 ; 414
15600 ; 419
15700 ; 428
15800 ; 398
15900 ; 409
16000 ; 392
16100 ; 431
16200 ; 412
16300 ; 410
16400 ; 407
16500 ; 416
16600 ; 405
16700 ; 425
16800 ; 411
16900 ; 412
17000 ; 411
17100 ; 411
17200 ; 401
17300 ; 423
17400 ; 432
17500 ; 405
17600 ; 419
17700 ; 408
17800 ; 407
17900 ; 413
18000 ; 402
18100 ; 420
18200 ; 425
18300 ; 419
18400 ; 404
18500 ; 396
18600 ; 407
18700 ; 417
18800 ; 402
18900 ; 427
19000 ; 424
19100 ; 410
19200 ; 428
