Step;N 
100 ; 25
200 ; 30
300 ; 25
400 ; 26
500 ; 37
600 ; 44
700 ; 29
800 ; 25
900 ; 30
1000 ; 31
1100 ; 17
1200 ; 25
1300 ; 29
1400 ; 29
1500 ; 31
1600 ; 22
1700 ; 33
1800 ; 38
1900 ; 44
2000 ; 31
2100 ; 32
2200 ; 29
2300 ; 35
2400 ; 27
2500 ; 21
2600 ; 25
2700 ; 30
2800 ; 32
2900 ; 44
3000 ; 25
3100 ; 26
3200 ; 28
3300 ; 32
3400 ; 35
3500 ; 30
3600 ; 30
3700 ; 45
3800 ; 23
3900 ; 27
4000 ; 22
4100 ; 33
4200 ; 45
4300 ; 26
4400 ; 40
4500 ; 42
4600 ; 18
4700 ; 30
4800 ; 30
4900 ; 34
5000 ; 25
5100 ; 25
5200 ; 21
5300 ; 13
5400 ; 52
5500 ; 30
5600 ; 34
5700 ; 34
5800 ; 39
5900 ; 27
6000 ; 30
6100 ; 37
6200 ; 34
6300 ; 26
6400 ; 29
6500 ; 37
6600 ; 28
6700 ; 38
6800 ; 28
6900 ; 29
7000 ; 45
7100 ; 24
7200 ; 30
7300 ; 33
7400 ; 42
7500 ; 25
7600 ; 34
7700 ; 24
7800 ; 33
7900 ; 30
8000 ; 25
8100 ; 24
8200 ; 28
8300 ; 34
8400 ; 31
8500 ; 25
8600 ; 28
8700 ; 49
8800 ; 29
8900 ; 34
9000 ; 30
9100 ; 28
9200 ; 26
9300 ; 28
9400 ; 30
9500 ; 32
9600 ; 29
9700 ; 36
9800 ; 34
9900 ; 28
10000 ; 21
10100 ; 30
10200 ; 30
10300 ; 26
10400 ; 26
10500 ; 25
10600 ; 29
10700 ; 35
10800 ; 34
10900 ; 32
11000 ; 33
11100 ; 24
11200 ; 35
11300 ; 36
11400 ; 20
11500 ; 26
11600 ; 25
11700 ; 24
11800 ; 27
11900 ; 27
12000 ; 29
12100 ; 28
12200 ; 35
12300 ; 25
12400 ; 33
12500 ; 22
12600 ; 25
12700 ; 35
12800 ; 26
12900 ; 31
13000 ; 23
13100 ; 43
13200 ; 32
13300 ; 36
13400 ; 39
13500 ; 37
13600 ; 35
13700 ; 26
13800 ; 29
13900 ; 27
14000 ; 24
14100 ; 32
14200 ; 29
14300 ; 37
14400 ; 57
14500 ; 37
14600 ; 25
14700 ; 29
14800 ; 26
14900 ; 34
15000 ; 27
15100 ; 27
15200 ; 23
15300 ; 22
15400 ; 27
15500 ; 27
15600 ; 31
15700 ; 27
15800 ; 32
15900 ; 33
16000 ; 32
16100 ; 32
16200 ; 25
16300 ; 30
16400 ; 56
16500 ; 41
16600 ; 29
16700 ; 34
16800 ; 25
16900 ; 32
17000 ; 26
17100 ; 27
17200 ; 37
17300 ; 37
17400 ; 30
17500 ; 16
17600 ; 32
17700 ; 34
17800 ; 23
17900 ; 24
18000 ; 25
18100 ; 30
18200 ; 36
18300 ; 38
18400 ; 37
18500 ; 32
18600 ; 38
18700 ; 34
18800 ; 33
18900 ; 26
19000 ; 34
19100 ; 29
19200 ; 33
19300 ; 30
19400 ; 29
19500 ; 30
19600 ; 29
19700 ; 25
19800 ; 27
19900 ; 34
20000 ; 26
20100 ; 30
20200 ; 27
20300 ; 22
20400 ; 31
20500 ; 27
20600 ; 37
20700 ; 24
20800 ; 21
20900 ; 33
21000 ; 49
21100 ; 34
21200 ; 35
21300 ; 26
21400 ; 47
21500 ; 30
21600 ; 32
21700 ; 23
21800 ; 32
21900 ; 29
22000 ; 40
22100 ; 40
22200 ; 47
22300 ; 30
22400 ; 31
22500 ; 22
22600 ; 38
22700 ; 26
22800 ; 38
22900 ; 33
23000 ; 32
23100 ; 33
23200 ; 39
23300 ; 45
23400 ; 36
23500 ; 24
23600 ; 29
23700 ; 40
23800 ; 28
23900 ; 42
24000 ; 32
24100 ; 34
24200 ; 33
24300 ; 31
24400 ; 30
24500 ; 25
24600 ; 27
24700 ; 45
24800 ; 31
24900 ; 30
25000 ; 31
25100 ; 32
25200 ; 26
25300 ; 46
25400 ; 29
25500 ; 39
25600 ; 32
25700 ; 28
25800 ; 32
25900 ; 34
26000 ; 28
26100 ; 29
26200 ; 34
26300 ; 32
26400 ; 28
26500 ; 26
26600 ; 35
26700 ; 29
26800 ; 23
26900 ; 25
27000 ; 32
27100 ; 31
27200 ; 27
27300 ; 31
27400 ; 24
27500 ; 30
27600 ; 40
27700 ; 31
27800 ; 27
27900 ; 29
28000 ; 31
28100 ; 38
28200 ; 27
28300 ; 28
28400 ; 28
28500 ; 30
28600 ; 30
28700 ; 33
28800 ; 38
28900 ; 24
29000 ; 29
29100 ; 23
29200 ; 28
29300 ; 32
29400 ; 35
29500 ; 33
29600 ; 43
29700 ; 25
29800 ; 27
29900 ; 37
30000 ; 33
30100 ; 40
30200 ; 45
30300 ; 27
30400 ; 38
30500 ; 36
30600 ; 26
30700 ; 20
30800 ; 25
30900 ; 61
31000 ; 24
31100 ; 25
31200 ; 30
31300 ; 33
31400 ; 35
31500 ; 25
31600 ; 29
31700 ; 21
31800 ; 35
31900 ; 41
32000 ; 30
32100 ; 37
32200 ; 33
32300 ; 24
32400 ; 39
32500 ; 27
32600 ; 24
32700 ; 30
32800 ; 30
32900 ; 20
33000 ; 29
33100 ; 25
33200 ; 32
33300 ; 32
33400 ; 40
33500 ; 37
33600 ; 47
33700 ; 34
33800 ; 47
33900 ; 34
34000 ; 33
34100 ; 29
34200 ; 29
34300 ; 23
34400 ; 33
34500 ; 23
34600 ; 32
34700 ; 54
34800 ; 33
34900 ; 22
35000 ; 29
35100 ; 35
35200 ; 26
35300 ; 46
35400 ; 27
