-2.000000 -7.608653 
-1.996094 -7.651085 
-1.992188 -7.580939 
-1.988281 -7.614810 
-1.984375 -7.643528 
-1.980469 -7.664166 
-1.976562 -7.689373 
-1.972656 -7.642238 
-1.968750 -7.640544 
-1.964844 -7.658516 
-1.960938 -7.688679 
-1.957031 -7.709733 
-1.953125 -7.745000 
-1.949219 -7.748565 
-1.945312 -7.797931 
-1.941406 -7.754039 
-1.937500 -7.780786 
-1.933594 -7.773262 
-1.929688 -7.751173 
-1.925781 -7.808148 
-1.921875 -7.831314 
-1.917969 -7.873042 
-1.914062 -7.885191 
-1.910156 -7.909487 
-1.906250 -7.942745 
-1.902344 -7.935159 
-1.898438 -7.951757 
-1.894531 -7.969239 
-1.890625 -7.947628 
-1.886719 -8.010612 
-1.882812 -8.063077 
-1.878906 -8.065116 
-1.875000 -8.144461 
-1.871094 -8.168708 
-1.867188 -8.153921 
-1.863281 -8.213872 
-1.859375 -8.225548 
-1.855469 -8.278372 
-1.851562 -8.285178 
-1.847656 -8.324372 
-1.843750 -8.368064 
-1.839844 -8.406153 
-1.835938 -8.451079 
-1.832031 -8.507008 
-1.828125 -8.510382 
-1.824219 -8.492982 
-1.820312 -8.607703 
-1.816406 -8.569884 
-1.812500 -8.650375 
-1.808594 -8.695283 
-1.804688 -8.739043 
-1.800781 -8.666168 
-1.796875 -8.786912 
-1.792969 -8.797309 
-1.789062 -8.846465 
-1.785156 -8.896692 
-1.781250 -8.925667 
-1.777344 -8.933398 
-1.773438 -8.978871 
-1.769531 -9.045550 
-1.765625 -9.060969 
-1.761719 -9.117652 
-1.757812 -9.187985 
-1.753906 -9.212662 
-1.750000 -9.229743 
-1.746094 -9.267177 
-1.742188 -9.282148 
-1.738281 -9.365598 
-1.734375 -9.436538 
-1.730469 -9.486238 
-1.726562 -9.472052 
-1.722656 -9.511825 
-1.718750 -9.577997 
-1.714844 -9.626854 
-1.710938 -9.635677 
-1.707031 -9.727802 
-1.703125 -9.747866 
-1.699219 -9.763718 
