Step;N 
100 ; 309
200 ; 303
300 ; 304
400 ; 305
500 ; 311
600 ; 311
700 ; 324
800 ; 305
900 ; 304
1000 ; 318
1100 ; 315
1200 ; 308
1300 ; 306
1400 ; 308
1500 ; 306
1600 ; 311
1700 ; 298
1800 ; 294
1900 ; 291
2000 ; 314
2100 ; 291
2200 ; 322
2300 ; 294
2400 ; 310
2500 ; 297
2600 ; 320
2700 ; 301
2800 ; 302
2900 ; 310
3000 ; 325
3100 ; 308
3200 ; 302
3300 ; 324
3400 ; 315
3500 ; 298
3600 ; 298
3700 ; 318
3800 ; 314
3900 ; 307
4000 ; 293
4100 ; 323
4200 ; 309
4300 ; 319
4400 ; 308
4500 ; 312
4600 ; 301
4700 ; 319
4800 ; 322
4900 ; 306
5000 ; 299
5100 ; 309
5200 ; 297
5300 ; 306
5400 ; 313
5500 ; 291
5600 ; 321
5700 ; 302
5800 ; 309
5900 ; 315
6000 ; 297
6100 ; 311
6200 ; 303
6300 ; 306
6400 ; 326
6500 ; 311
6600 ; 289
6700 ; 298
6800 ; 308
6900 ; 309
7000 ; 310
7100 ; 319
7200 ; 309
7300 ; 318
7400 ; 302
7500 ; 307
7600 ; 301
7700 ; 307
7800 ; 320
7900 ; 321
8000 ; 303
8100 ; 304
8200 ; 317
8300 ; 302
8400 ; 288
8500 ; 318
8600 ; 291
8700 ; 311
8800 ; 318
8900 ; 325
9000 ; 306
9100 ; 303
9200 ; 307
9300 ; 301
9400 ; 298
9500 ; 296
9600 ; 323
9700 ; 291
9800 ; 312
9900 ; 308
10000 ; 300
10100 ; 300
10200 ; 308
10300 ; 307
10400 ; 305
10500 ; 301
10600 ; 316
10700 ; 322
10800 ; 306
10900 ; 309
11000 ; 290
11100 ; 295
11200 ; 300
11300 ; 297
11400 ; 308
11500 ; 299
11600 ; 306
11700 ; 313
11800 ; 310
11900 ; 324
12000 ; 300
12100 ; 313
12200 ; 326
12300 ; 291
12400 ; 316
12500 ; 305
12600 ; 273
12700 ; 318
12800 ; 316
12900 ; 298
13000 ; 300
13100 ; 311
13200 ; 300
13300 ; 302
13400 ; 308
13500 ; 300
13600 ; 300
13700 ; 309
13800 ; 303
13900 ; 295
14000 ; 312
14100 ; 314
14200 ; 303
14300 ; 306
14400 ; 315
14500 ; 304
14600 ; 320
14700 ; 315
14800 ; 296
14900 ; 315
15000 ; 299
15100 ; 296
15200 ; 303
15300 ; 311
15400 ; 312
15500 ; 294
15600 ; 324
15700 ; 299
15800 ; 320
15900 ; 306
16000 ; 318
16100 ; 313
16200 ; 319
16300 ; 301
16400 ; 296
16500 ; 300
16600 ; 315
16700 ; 300
16800 ; 320
16900 ; 318
17000 ; 320
17100 ; 321
17200 ; 300
17300 ; 291
17400 ; 305
17500 ; 296
17600 ; 313
17700 ; 310
17800 ; 307
17900 ; 309
18000 ; 309
18100 ; 313
18200 ; 292
18300 ; 302
18400 ; 300
18500 ; 305
18600 ; 302
18700 ; 319
18800 ; 311
18900 ; 314
19000 ; 311
19100 ; 303
19200 ; 302
19300 ; 309
19400 ; 298
19500 ; 301
19600 ; 303
19700 ; 307
19800 ; 322
19900 ; 316
20000 ; 295
20100 ; 302
20200 ; 303
20300 ; 304
20400 ; 313
20500 ; 294
20600 ; 318
20700 ; 300
20800 ; 302
20900 ; 318
21000 ; 307
21100 ; 309
21200 ; 322
21300 ; 321
21400 ; 314
21500 ; 305
21600 ; 314
21700 ; 324
21800 ; 316
21900 ; 281
22000 ; 307
22100 ; 300
22200 ; 315
22300 ; 310
22400 ; 305
22500 ; 303
22600 ; 300
22700 ; 295
22800 ; 309
22900 ; 295
23000 ; 329
23100 ; 305
23200 ; 298
23300 ; 312
23400 ; 294
23500 ; 321
23600 ; 310
23700 ; 313
23800 ; 306
23900 ; 305
24000 ; 317
24100 ; 306
24200 ; 311
24300 ; 309
24400 ; 305
24500 ; 312
24600 ; 318
24700 ; 302
24800 ; 304
24900 ; 326
25000 ; 308
25100 ; 293
25200 ; 307
25300 ; 308
25400 ; 311
25500 ; 297
25600 ; 318
25700 ; 300
25800 ; 307
25900 ; 296
26000 ; 309
26100 ; 316
26200 ; 283
26300 ; 297
26400 ; 316
26500 ; 315
26600 ; 326
26700 ; 298
