Step;N 
40100 ; 50
40200 ; 44
40300 ; 54
40400 ; 40
40500 ; 42
40600 ; 46
40700 ; 46
40800 ; 40
40900 ; 49
41000 ; 51
41100 ; 48
41200 ; 49
41300 ; 50
41400 ; 43
41500 ; 43
41600 ; 45
41700 ; 49
41800 ; 59
41900 ; 36
42000 ; 46
42100 ; 47
42200 ; 38
42300 ; 49
42400 ; 53
42500 ; 46
42600 ; 45
42700 ; 51
42800 ; 63
42900 ; 53
43000 ; 49
43100 ; 58
43200 ; 56
43300 ; 52
43400 ; 44
43500 ; 56
43600 ; 41
43700 ; 62
43800 ; 54
43900 ; 54
44000 ; 49
44100 ; 63
44200 ; 53
44300 ; 60
44400 ; 52
44500 ; 43
44600 ; 54
44700 ; 46
44800 ; 63
44900 ; 45
45000 ; 46
45100 ; 42
45200 ; 52
45300 ; 55
45400 ; 49
45500 ; 48
45600 ; 51
45700 ; 34
45800 ; 50
45900 ; 59
46000 ; 44
46100 ; 50
46200 ; 45
46300 ; 42
46400 ; 48
46500 ; 44
46600 ; 36
46700 ; 55
46800 ; 52
46900 ; 52
47000 ; 41
47100 ; 55
47200 ; 53
47300 ; 40
47400 ; 43
47500 ; 56
47600 ; 56
47700 ; 41
47800 ; 39
47900 ; 48
48000 ; 39
48100 ; 65
48200 ; 37
48300 ; 53
48400 ; 40
48500 ; 46
48600 ; 33
48700 ; 39
48800 ; 42
48900 ; 48
49000 ; 43
49100 ; 35
49200 ; 45
49300 ; 50
49400 ; 62
49500 ; 46
49600 ; 59
49700 ; 42
49800 ; 53
49900 ; 42
50000 ; 48
50100 ; 46
50200 ; 46
50300 ; 42
50400 ; 44
50500 ; 49
50600 ; 36
50700 ; 48
50800 ; 44
50900 ; 39
51000 ; 40
51100 ; 47
51200 ; 38
51300 ; 54
51400 ; 53
51500 ; 40
51600 ; 48
51700 ; 41
51800 ; 47
51900 ; 50
52000 ; 60
52100 ; 52
52200 ; 37
52300 ; 47
52400 ; 53
52500 ; 45
52600 ; 54
52700 ; 42
52800 ; 39
52900 ; 44
53000 ; 46
53100 ; 50
53200 ; 52
53300 ; 55
53400 ; 45
53500 ; 53
53600 ; 41
53700 ; 45
53800 ; 46
53900 ; 56
54000 ; 51
54100 ; 49
54200 ; 50
54300 ; 45
54400 ; 46
54500 ; 47
54600 ; 45
54700 ; 46
54800 ; 45
54900 ; 54
55000 ; 49
55100 ; 51
55200 ; 42
55300 ; 43
55400 ; 54
55500 ; 40
55600 ; 47
55700 ; 47
55800 ; 52
55900 ; 48
56000 ; 46
56100 ; 39
56200 ; 40
56300 ; 48
56400 ; 57
56500 ; 39
56600 ; 47
56700 ; 52
56800 ; 50
56900 ; 50
57000 ; 54
57100 ; 57
57200 ; 49
57300 ; 56
57400 ; 57
57500 ; 61
57600 ; 49
57700 ; 49
57800 ; 48
57900 ; 48
58000 ; 52
58100 ; 48
58200 ; 42
58300 ; 54
58400 ; 48
58500 ; 50
58600 ; 45
58700 ; 53
58800 ; 49
58900 ; 43
59000 ; 50
59100 ; 55
59200 ; 49
59300 ; 56
59400 ; 65
59500 ; 44
59600 ; 49
59700 ; 53
59800 ; 58
59900 ; 47
60000 ; 58
60100 ; 44
60200 ; 51
60300 ; 48
60400 ; 47
60500 ; 42
60600 ; 51
60700 ; 56
60800 ; 60
60900 ; 43
61000 ; 64
61100 ; 59
61200 ; 42
61300 ; 48
61400 ; 40
61500 ; 44
61600 ; 45
61700 ; 46
61800 ; 48
61900 ; 50
62000 ; 45
62100 ; 42
62200 ; 49
62300 ; 51
62400 ; 52
62500 ; 49
62600 ; 50
62700 ; 44
62800 ; 47
62900 ; 54
63000 ; 52
63100 ; 45
63200 ; 49
63300 ; 44
63400 ; 41
63500 ; 44
63600 ; 38
63700 ; 52
63800 ; 55
63900 ; 62
64000 ; 49
64100 ; 50
64200 ; 49
64300 ; 46
64400 ; 59
64500 ; 52
64600 ; 45
64700 ; 51
64800 ; 64
64900 ; 34
65000 ; 49
65100 ; 66
65200 ; 59
65300 ; 50
65400 ; 30
65500 ; 48
65600 ; 37
65700 ; 42
65800 ; 40
65900 ; 39
66000 ; 48
66100 ; 51
66200 ; 54
66300 ; 56
66400 ; 47
66500 ; 54
66600 ; 39
66700 ; 58
66800 ; 45
66900 ; 43
67000 ; 52
67100 ; 38
67200 ; 47
67300 ; 46
67400 ; 52
67500 ; 43
67600 ; 39
67700 ; 52
67800 ; 54
67900 ; 48
68000 ; 50
68100 ; 42
68200 ; 46
68300 ; 44
68400 ; 45
68500 ; 49
68600 ; 40
68700 ; 43
68800 ; 42
68900 ; 43
69000 ; 47
69100 ; 45
69200 ; 49
69300 ; 49
69400 ; 49
69500 ; 40
69600 ; 42
69700 ; 50
69800 ; 49
69900 ; 55
70000 ; 42
70100 ; 48
70200 ; 42
70300 ; 49
70400 ; 40
70500 ; 49
70600 ; 67
70700 ; 65
70800 ; 53
70900 ; 37
71000 ; 40
71100 ; 49
71200 ; 57
71300 ; 45
71400 ; 50
71500 ; 39
71600 ; 45
71700 ; 48
71800 ; 45
71900 ; 50
72000 ; 43
72100 ; 49
72200 ; 49
72300 ; 45
72400 ; 39
72500 ; 38
72600 ; 41
72700 ; 56
72800 ; 48
72900 ; 48
73000 ; 50
