Step;N 
100 ; 612
200 ; 610
300 ; 622
400 ; 620
500 ; 624
600 ; 630
700 ; 619
800 ; 624
900 ; 619
1000 ; 621
1100 ; 625
1200 ; 621
1300 ; 617
1400 ; 622
1500 ; 621
1600 ; 621
1700 ; 620
1800 ; 632
1900 ; 633
2000 ; 634
2100 ; 632
2200 ; 637
2300 ; 635
2400 ; 632
2500 ; 631
2600 ; 633
2700 ; 624
2800 ; 636
2900 ; 632
3000 ; 623
3100 ; 620
3200 ; 635
3300 ; 627
3400 ; 631
3500 ; 630
3600 ; 638
3700 ; 634
3800 ; 623
3900 ; 623
4000 ; 621
4100 ; 624
4200 ; 634
4300 ; 631
4400 ; 634
4500 ; 642
4600 ; 634
4700 ; 641
4800 ; 639
4900 ; 631
5000 ; 635
